WAARNEMINGDATUM HH NTU_h
2020-01-01 01 315.5
2020-01-01 02 251
2020-01-01 03 217
2020-01-01 04 270.916666666667
2020-01-01 05 243.583333333333
2020-01-01 06 217
2020-01-01 07 278.25
2020-01-01 08 298.75
2020-01-01 09 307.666666666667
2020-01-01 10 228.75
2020-01-01 11 260.333333333333
2020-01-01 12 323.833333333333
2020-01-01 13 184.333333333333
2020-01-01 14 255.416666666667
2020-01-01 15 298.333333333333
2020-01-01 16 324.75
2020-01-01 17 285.916666666667
2020-01-01 18 272
2020-01-01 19 257.5
2020-01-01 20 285
2020-01-01 21 350.5
2020-01-01 22 238.666666666667
2020-01-01 23 258.416666666667
2021-01-01 00 17
2021-01-01 01 17
2021-01-01 02 512
2021-01-01 03 508
2021-01-01 07 508.333333333333
2021-01-01 08 17
2021-01-01 09 499
2021-01-01 11 507
2021-01-01 13 16
2021-01-01 14 16
2021-01-01 15 262
2021-01-01 17 15
2021-01-01 18 262.75
2021-01-01 19 180
2021-01-01 20 15
2021-01-01 22 15
2021-01-01 23 510
2020-02-01 00 995.666666666667
2020-02-01 01 1108.91666666667
2020-02-01 02 1132.41666666667
2020-02-01 03 1096.25
2020-02-01 04 1145.25
2020-02-01 05 996.583333333333
2020-02-01 06 1128.58333333333
2020-02-01 07 1036.83333333333
2020-02-01 08 960.25
2020-02-01 09 1073.5
2020-02-01 10 1135.83333333333
2020-02-01 11 1006.83333333333
2020-02-01 12 976.416666666667
2020-02-01 13 1037.41666666667
2020-02-01 14 1177
2020-02-01 15 1233.66666666667
2020-02-01 16 1226.08333333333
2020-02-01 17 1205.83333333333
2020-02-01 18 1216.83333333333
2020-02-01 19 1173.5
2020-02-01 20 1191.33333333333
2020-02-01 21 1112.33333333333
2020-02-01 22 1067.58333333333
2020-02-01 23 1230.66666666667
2021-02-01 00 43.5
2021-02-01 01 37
2021-02-01 02 38
2021-02-01 05 43
2021-02-01 06 38.5
2021-02-01 09 34
2021-02-01 10 39
2021-02-01 11 41
2021-02-01 12 31.5
2021-02-01 13 28
2021-02-01 14 27
2021-02-01 16 24
2021-02-01 17 23.6666666666667
2021-02-01 20 20
2021-02-01 21 19
2021-02-01 23 18
2020-03-01 02 109.5
2020-03-01 03 104
2020-03-01 04 103
2020-03-01 06 101
2020-03-01 07 99
2020-03-01 09 100.5
2020-03-01 11 105.5
2020-03-01 13 102
2020-03-01 15 101
2020-03-01 16 96
