WAARNEMINGDATUM;HH;NTU_h;Year;Date
2022-01-01;00;18.5;2022;01-01
2022-01-01;01;20;2022;01-01
2022-01-01;02;17;2022;01-01
2022-01-01;03;20.5;2022;01-01
2022-01-01;04;19.6666666666667;2022;01-01
2022-01-01;05;NA;2022;01-01
2022-01-01;06;20;2022;01-01
2022-01-01;07;22;2022;01-01
2022-01-01;08;NA;2022;01-01
2022-01-01;09;23;2022;01-01
2022-01-01;10;26;2022;01-01
2022-01-01;11;25;2022;01-01
2022-01-01;12;31.5;2022;01-01
2022-01-01;13;NA;2022;01-01
2022-01-01;14;NA;2022;01-01
2022-01-01;15;28;2022;01-01
2022-01-01;16;28.5;2022;01-01
2022-01-01;17;27;2022;01-01
2022-01-01;18;25.6666666666667;2022;01-01
2022-01-01;19;24.5;2022;01-01
2022-01-01;20;NA;2022;01-01
2022-01-01;21;NA;2022;01-01
2022-01-01;22;33;2022;01-01
2022-01-01;23;34;2022;01-01
2022-01-02;00;33;2022;01-02
2022-01-02;01;NA;2022;01-02
2022-01-02;02;34.5;2022;01-02
2022-01-02;03;33.5;2022;01-02
2022-01-02;04;34;2022;01-02
2022-01-02;05;35;2022;01-02
2022-01-02;06;35;2022;01-02
2022-01-02;07;NA;2022;01-02
2022-01-02;08;32;2022;01-02
2022-01-02;09;NA;2022;01-02
2022-01-02;10;NA;2022;01-02
2022-01-02;11;31.25;2022;01-02
2022-01-02;12;31;2022;01-02
2022-01-02;13;35;2022;01-02
2022-01-02;14;NA;2022;01-02
2022-01-02;15;35;2022;01-02
2022-01-02;16;32;2022;01-02
2022-01-02;17;33;2022;01-02
2022-01-02;18;31;2022;01-02
2022-01-02;19;28.5;2022;01-02
2022-01-02;20;25;2022;01-02
2022-01-02;21;23;2022;01-02
2022-01-02;22;24;2022;01-02
2022-01-02;23;NA;2022;01-02
2022-01-03;00;NA;2022;01-03
2022-01-03;01;21;2022;01-03
2022-01-03;02;22;2022;01-03
2022-01-03;03;21;2022;01-03
2022-01-03;04;NA;2022;01-03
2022-01-03;05;NA;2022;01-03
2022-01-03;06;NA;2022;01-03
2022-01-03;07;20.6666666666667;2022;01-03
2022-01-03;08;NA;2022;01-03
2022-01-03;09;17;2022;01-03
2022-01-03;10;20;2022;01-03
2022-01-03;11;15;2022;01-03
2022-01-03;12;18.5;2022;01-03
2022-01-03;13;NA;2022;01-03
2022-01-03;14;22;2022;01-03
2022-01-03;15;22;2022;01-03
2022-01-03;16;19;2022;01-03
2022-01-03;17;NA;2022;01-03
2022-01-03;18;17;2022;01-03
2022-01-03;19;19;2022;01-03
2022-01-03;20;19;2022;01-03
2022-01-03;21;19.5;2022;01-03
2022-01-03;22;17;2022;01-03
2022-01-03;23;19;2022;01-03
2022-01-04;00;NA;2022;01-04
