Datum;HH;NTU_h;Year;Date
2021-01-01;00;507;2021;01-01
2021-01-01;01;NA;2021;01-01
2021-01-01;02;NA;2021;01-01
2021-01-01;03;NA;2021;01-01
2021-01-01;04;508;2021;01-01
2021-01-01;05;508;2021;01-01
2021-01-01;06;NA;2021;01-01
2021-01-01;07;512;2021;01-01
2021-01-01;08;NA;2021;01-01
2021-01-01;09;NA;2021;01-01
2021-01-01;10;NA;2021;01-01
2021-01-01;11;NA;2021;01-01
2021-01-01;12;507;2021;01-01
2021-01-01;13;511;2021;01-01
2021-01-01;14;343.666666666667;2021;01-01
2021-01-01;15;NA;2021;01-01
2021-01-01;16;260;2021;01-01
2021-01-01;17;10;2021;01-01
2021-01-01;18;259;2021;01-01
2021-01-01;19;507;2021;01-01
2021-01-01;20;8;2021;01-01
2021-01-01;21;174.333333333333;2021;01-01
2021-01-01;22;NA;2021;01-01
2021-01-01;23;509;2021;01-01
2021-01-02;00;508;2021;01-02
2021-01-02;01;257.5;2021;01-02
2021-01-02;02;254;2021;01-02
2021-01-02;03;NA;2021;01-02
2021-01-02;04;NA;2021;01-02
2021-01-02;05;NA;2021;01-02
2021-01-02;06;254;2021;01-02
2021-01-02;07;7;2021;01-02
2021-01-02;08;259;2021;01-02
2021-01-02;09;7;2021;01-02
2021-01-02;10;257.5;2021;01-02
2021-01-02;11;258.5;2021;01-02
2021-01-02;12;NA;2021;01-02
2021-01-02;13;509.5;2021;01-02
2021-01-02;14;9;2021;01-02
2021-01-02;15;511;2021;01-02
2021-01-02;16;16;2021;01-02
2021-01-02;17;23;2021;01-02
2021-01-02;18;346;2021;01-02
2021-01-02;19;25;2021;01-02
2021-01-02;20;508.5;2021;01-02
2021-01-02;21;506;2021;01-02
2021-01-02;22;NA;2021;01-02
2021-01-02;23;NA;2021;01-02
2021-01-03;00;270.5;2021;01-03
2021-01-03;01;192.666666666667;2021;01-03
2021-01-03;02;196.333333333333;2021;01-03
2021-01-03;03;38;2021;01-03
2021-01-03;04;40;2021;01-03
2021-01-03;05;NA;2021;01-03
2021-01-03;06;275;2021;01-03
2021-01-03;07;507;2021;01-03
2021-01-03;08;NA;2021;01-03
2021-01-03;09;46;2021;01-03
2021-01-03;10;47;2021;01-03
2021-01-03;11;NA;2021;01-03
2021-01-03;12;NA;2021;01-03
2021-01-03;13;48.6666666666667;2021;01-03
2021-01-03;14;48.5;2021;01-03
2021-01-03;15;282;2021;01-03
2021-01-03;16;49;2021;01-03
2021-01-03;17;506;2021;01-03
2021-01-03;18;NA;2021;01-03
2021-01-03;19;NA;2021;01-03
2021-01-03;20;49;2021;01-03
2021-01-03;21;NA;2021;01-03
2021-01-03;22;510;2021;01-03
2021-01-03;23;201.333333333333;2021;01-03
2021-01-04;00;274.5;2021;01-04
2021-01-04;01;45;2021;01-04
2021-01-04;02;505.5;2021;01-04
2021-01-04;03;44;2021;01-04
2021-01-04;04;43;2021;01-04
2021-01-04;05;44;2021;01-04
2021-01-04;06;275;2021;01-04
2021-01-04;07;506;2021;01-04
2021-01-04;08;505;2021;01-04
2021-01-04;09;272.25;2021;01-04
2021-01-04;10;506;2021;01-04
2021-01-04;11;272.5;2021;01-04
2021-01-04;12;NA;2021;01-04
2021-01-04;13;NA;2021;01-04
2021-01-04;14;NA;2021;01-04
2021-01-04;15;NA;2021;01-04
2021-01-04;16;NA;2021;01-04
2021-01-04;17;506;2021;01-04
2021-01-04;18;194;2021;01-04
2021-01-04;19;195.333333333333;2021;01-04
2021-01-04;20;NA;2021;01-04
2021-01-04;21;504;2021;01-04
2021-01-04;22;NA;2021;01-04
2021-01-04;23;39;2021;01-04
2021-01-05;00;507;2021;01-05
2021-01-05;01;272;2021;01-05
2021-01-05;02;40;2021;01-05
2021-01-05;03;NA;2021;01-05
2021-01-05;04;511.5;2021;01-05
2021-01-05;05;40.5;2021;01-05
2021-01-05;06;44;2021;01-05
2021-01-05;07;NA;2021;01-05
2021-01-05;08;36;2021;01-05
2021-01-05;09;35;2021;01-05
2021-01-05;10;510;2021;01-05
2021-01-05;11;32;2021;01-05
2021-01-05;12;510;2021;01-05
2021-01-05;13;28;2021;01-05
2021-01-05;14;490;2021;01-05
2021-01-05;15;342.333333333333;2021;01-05
2021-01-05;16;NA;2021;01-05
